investor_id,name,age,city,occupation,risk_appetite,sip_capacity,preferred_language,created_at,gender,tier,monthly_income_est,last_activity_date
inv_1bc60e84,Aditi Kulkarni,26,Bangalore,Salaried,Moderate,10000,English,2024-01-01,Female,Tier 1,149678,2025-10-01
inv_8bf9fbec,Anil Deshmukh,31,Pune,Salaried,Moderate,10000,Marathi,2024-01-01,Male,Tier 2,110056,2025-10-01
inv_e5ce3692,Varun Singh,54,Mumbai,Salaried,Moderate,10000,Marathi,2024-01-01,Male,Tier 1,48655,2025-10-01
inv_d6bfc6bd,Anil Kale,44,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Male,Tier 2,108281,2025-10-01
inv_a1294ab2,Priya Kale,61,Nashik,Retired,Conservative,10000,Marathi,2024-01-01,Female,Tier 2,67850,2025-10-01
inv_44310d7a,Karan Mehta,23,Bangalore,Student,High,500,English,2024-01-01,Male,Tier 1,14224,2025-10-01
inv_9424015d,Arjun Gupta,30,Nagpur,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 2,127059,2025-10-01
inv_45984228,Manoj Kale,19,Nagpur,Student,High,1000,English,2024-01-01,Male,Tier 2,5612,2025-10-01
inv_0c4d68b7,Sanjay Mehta,49,Pune,Gig Worker,Moderate,2000,Marathi,2024-01-01,Male,Tier 2,25514,2025-10-01
inv_7d99fea8,Anil Pawar,38,Pune,Salaried,Moderate,10000,Hindi,2024-01-01,Male,Tier 2,137151,2025-10-01
inv_4f6a15d7,Manoj Joshi,26,Nagpur,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,129417,2025-10-01
inv_1c89004f,Meena Pawar,68,Chennai,Retired,Conservative,10000,Tamil,2024-01-01,Female,Tier 2,44763,2025-10-01
inv_0a9edbca,Pooja Patil,47,Nagpur,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,111784,2025-10-01
inv_c5a89aa9,Krutika Joshi,25,Mumbai,Salaried,Moderate,10000,English,2024-01-01,Female,Tier 1,144451,2025-10-01
inv_65c7dc19,Ganesh Das,33,Mumbai,Salaried,Moderate,5000,Marathi,2024-01-01,Male,Tier 1,71550,2025-10-01
inv_997f7a89,Sneha Sharma,27,Nagpur,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,103734,2025-10-01
inv_1891ecc9,Raju Das,20,Hyderabad,Student,High,1000,English,2024-01-01,Male,Tier 2,6810,2025-10-01
inv_b778ad3f,Nisha Joshi,36,Chennai,Salaried,Moderate,10000,Tamil,2024-01-01,Female,Tier 2,127557,2025-10-01
inv_a6ea70ad,Rahul Shinde,21,Bangalore,Student,High,1000,English,2024-01-01,Male,Tier 1,6361,2025-10-01
inv_3e0dbb2a,Sunil Verma,31,Nagpur,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 2,146329,2025-10-01
inv_2709b83e,Sneha Deshmukh,24,Hyderabad,Gig Worker,Moderate,1000,English,2024-01-01,Female,Tier 2,26900,2025-10-01
inv_3026f76f,Sunita Das,25,Chennai,Gig Worker,Moderate,1000,Tamil,2024-01-01,Female,Tier 2,18002,2025-10-01
inv_3ae48a9b,Rahul Shinde,54,Bangalore,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 1,117261,2025-10-01
inv_d2d1f54b,Meena Gupta,26,Delhi,Salaried,Moderate,10000,Hindi,2024-01-01,Female,Tier 1,59919,2025-10-01
inv_08e28931,Anita Patil,28,Mumbai,Salaried,Moderate,10000,Marathi,2024-01-01,Female,Tier 1,47667,2025-10-01
inv_6efdcf12,Sanjay Kale,23,Nashik,Student,High,1000,Hindi,2024-01-01,Male,Tier 2,8810,2025-10-01
inv_e0b0ebc3,Priya Shinde,75,Nagpur,Retired,Conservative,10000,English,2024-01-01,Female,Tier 2,44957,2025-10-01
inv_ba61dbdf,Kavita Patil,32,Nashik,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,53275,2025-10-01
inv_121cc80f,Riya Joshi,33,Bangalore,Business,High,15000,English,2024-01-01,Female,Tier 1,350137,2025-10-01
inv_a7e26500,Raju Reddy,53,Pune,Salaried,Moderate,10000,Marathi,2024-01-01,Male,Tier 2,64715,2025-10-01
inv_c91f6bcc,Neha Joshi,39,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Female,Tier 2,69795,2025-10-01
inv_21c2f70e,Anjali Mehta,52,Bangalore,Gig Worker,Moderate,1000,English,2024-01-01,Female,Tier 1,39207,2025-10-01
inv_9e1a51f8,Sneha Sharma,29,Nashik,Salaried,Moderate,5000,Hindi,2024-01-01,Female,Tier 2,148238,2025-10-01
inv_a4f22f6f,Divya Kale,76,Nagpur,Retired,Conservative,10000,English,2024-01-01,Female,Tier 2,69891,2025-10-01
inv_9c3bd8f0,Deepak Shinde,39,Delhi,Gig Worker,Moderate,1000,Hindi,2024-01-01,Male,Tier 1,26739,2025-10-01
inv_5519bc43,Vijay Das,41,Bangalore,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 1,45498,2025-10-01
inv_0a4dfb3f,Divya Joshi,24,Nagpur,Business,High,15000,English,2024-01-01,Female,Tier 2,466784,2025-10-01
inv_483392db,Riya Shinde,54,Nagpur,Gig Worker,Moderate,1000,English,2024-01-01,Female,Tier 2,34168,2025-10-01
inv_e2081337,Anita Verma,44,Thane,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,137980,2025-10-01
inv_9dbd0c1c,Vijay Mehta,37,Hyderabad,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 2,106238,2025-10-01
inv_08743d8e,Sunil Nair,36,Delhi,Salaried,Moderate,10000,Hindi,2024-01-01,Male,Tier 1,53122,2025-10-01
inv_1c7b9bbd,Ramesh Mehta,51,Nashik,Salaried,Moderate,10000,Marathi,2024-01-01,Male,Tier 2,101367,2025-10-01
inv_98fde2df,Priya Verma,24,Nashik,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,110730,2025-10-01
inv_4d6c1a89,Aditya Sharma,48,Chennai,Business,High,15000,Tamil,2024-01-01,Male,Tier 2,376313,2025-10-01
inv_a03451c4,Divya Patil,42,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Female,Tier 2,138904,2025-10-01
inv_ce44776d,Sanjay Shinde,41,Thane,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,122054,2025-10-01
inv_fc161ab9,Raj Patil,44,Delhi,Gig Worker,Moderate,2000,Hindi,2024-01-01,Male,Tier 1,24626,2025-10-01
inv_9073d179,Vijay Singh,38,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Male,Tier 2,87772,2025-10-01
inv_bb0e65d2,Pooja Gupta,60,Chennai,Retired,Conservative,5000,Tamil,2024-01-01,Female,Tier 2,41608,2025-10-01
inv_28ce5d91,Swati Kale,60,Bangalore,Retired,Conservative,10000,English,2024-01-01,Female,Tier 1,35930,2025-10-01
inv_634e15ee,Deepak Sharma,46,Delhi,Salaried,Moderate,5000,Hindi,2024-01-01,Male,Tier 1,122910,2025-10-01
inv_d7f126ca,Anil Nair,57,Nagpur,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 2,107222,2025-10-01
inv_7a207e52,Sanjay Kale,25,Hyderabad,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 2,128327,2025-10-01
inv_c3be0d19,Anita Reddy,43,Mumbai,Business,High,15000,Marathi,2024-01-01,Female,Tier 1,494819,2025-10-01
inv_fd5f3980,Sunita Nair,52,Hyderabad,Business,High,15000,English,2024-01-01,Female,Tier 2,485153,2025-10-01
inv_988538c4,Sunita Patil,63,Mumbai,Retired,Conservative,10000,Marathi,2024-01-01,Female,Tier 1,60501,2025-10-01
inv_60162b6e,Kavita Joshi,45,Nagpur,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,61653,2025-10-01
inv_50e75ce9,Vikram Das,28,Chennai,Gig Worker,Moderate,2000,Tamil,2024-01-01,Male,Tier 2,25728,2025-10-01
inv_9c100b96,Pooja Verma,56,Nashik,Salaried,Moderate,5000,Hindi,2024-01-01,Female,Tier 2,136592,2025-10-01
inv_6a02f04f,Sneha Gupta,20,Pune,Student,High,1000,Marathi,2024-01-01,Female,Tier 2,13249,2025-10-01
inv_5ad33118,Sanjay Mehta,24,Bangalore,Gig Worker,Moderate,2000,English,2024-01-01,Male,Tier 1,35703,2025-10-01
inv_2481f222,Ramesh Reddy,43,Nagpur,Gig Worker,Moderate,1000,English,2024-01-01,Male,Tier 2,30004,2025-10-01
inv_ad1069bb,Anita Shinde,30,Chennai,Gig Worker,Moderate,2000,Tamil,2024-01-01,Female,Tier 2,21865,2025-10-01
inv_50785291,Anil Singh,44,Hyderabad,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,41297,2025-10-01
inv_abc98783,Divya Patil,38,Pune,Salaried,Moderate,5000,Hindi,2024-01-01,Female,Tier 2,54536,2025-10-01
inv_374a1872,Priya Patil,57,Chennai,Salaried,Moderate,10000,Tamil,2024-01-01,Female,Tier 2,71797,2025-10-01
inv_898b53ee,Deepak Verma,48,Mumbai,Business,High,15000,Marathi,2024-01-01,Male,Tier 1,317403,2025-10-01
inv_e9993d8e,Aditya Joshi,29,Pune,Business,High,15000,Marathi,2024-01-01,Male,Tier 2,356700,2025-10-01
inv_113deeb6,Swati Nair,50,Pune,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,112013,2025-10-01
inv_3cbc0c8d,Kavita Verma,24,Hyderabad,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,69516,2025-10-01
inv_31fbbcbb,Anil Kulkarni,50,Delhi,Business,High,30000,Hindi,2024-01-01,Male,Tier 1,214365,2025-10-01
inv_983232d1,Riya Pawar,19,Delhi,Student,High,1000,Hindi,2024-01-01,Female,Tier 1,9253,2025-10-01
inv_fbbf7d6a,Manoj Patil,43,Nashik,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,46835,2025-10-01
inv_f3abfd09,Vijay Sharma,72,Hyderabad,Retired,Conservative,5000,English,2024-01-01,Male,Tier 2,32934,2025-10-01
inv_dd982460,Pooja Gupta,32,Pune,Business,High,15000,English,2024-01-01,Female,Tier 2,252576,2025-10-01
inv_1195001a,Ganesh Shinde,27,Pune,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,101892,2025-10-01
inv_c95aeb58,Sneha Shinde,25,Hyderabad,Business,High,30000,English,2024-01-01,Female,Tier 2,248760,2025-10-01
inv_0fc0734f,Swati Gupta,27,Hyderabad,Salaried,Moderate,10000,English,2024-01-01,Female,Tier 2,144701,2025-10-01
inv_11c75be6,Nisha Kale,48,Bangalore,Business,High,30000,English,2024-01-01,Female,Tier 1,488609,2025-10-01
inv_f76052b4,Sunil Kale,39,Nashik,Business,High,15000,Hindi,2024-01-01,Male,Tier 2,106478,2025-10-01
inv_a739f334,Varun Shinde,36,Thane,Business,High,15000,English,2024-01-01,Male,Tier 2,113444,2025-10-01
inv_56637d0b,Anita Mehta,30,Mumbai,Gig Worker,Moderate,2000,Hindi,2024-01-01,Female,Tier 1,30029,2025-10-01
inv_bf9d7c43,Raju Nair,34,Mumbai,Gig Worker,Moderate,2000,Marathi,2024-01-01,Male,Tier 1,37746,2025-10-01
inv_1c03d4cd,Sanjay Das,29,Chennai,Salaried,Moderate,10000,Tamil,2024-01-01,Male,Tier 2,46259,2025-10-01
inv_8938cb04,Anil Deshmukh,39,Thane,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,119258,2025-10-01
inv_a811c53e,Nisha Nair,63,Hyderabad,Retired,Conservative,5000,English,2024-01-01,Female,Tier 2,75444,2025-10-01
inv_b5a8a391,Anita Sharma,44,Bangalore,Business,High,15000,English,2024-01-01,Female,Tier 1,215013,2025-10-01
inv_0665675a,Sunil Gupta,26,Pune,Salaried,Moderate,5000,Marathi,2024-01-01,Male,Tier 2,47004,2025-10-01
inv_35892a5f,Sneha Nair,44,Thane,Business,High,30000,English,2024-01-01,Female,Tier 2,151576,2025-10-01
inv_7d5c1fb1,Arjun Singh,27,Nashik,Gig Worker,Moderate,2000,Hindi,2024-01-01,Male,Tier 2,27456,2025-10-01
inv_bb778b61,Kavita Reddy,54,Pune,Business,High,15000,Marathi,2024-01-01,Female,Tier 2,127401,2025-10-01
inv_186a662f,Sanjay Pawar,30,Bangalore,Business,High,15000,English,2024-01-01,Male,Tier 1,238284,2025-10-01
inv_0b8cf3bb,Deepak Kale,51,Nagpur,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,68146,2025-10-01
inv_eb05d082,Krutika Verma,48,Nagpur,Salaried,Moderate,10000,English,2024-01-01,Female,Tier 2,56863,2025-10-01
inv_b692e793,Deepak Joshi,57,Hyderabad,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,135990,2025-10-01
inv_303fcbed,Anita Patil,25,Nagpur,Gig Worker,Moderate,2000,English,2024-01-01,Female,Tier 2,23424,2025-10-01
inv_64fd2811,Arjun Verma,21,Nashik,Student,High,500,Marathi,2024-01-01,Male,Tier 2,6857,2025-10-01
inv_279ae0cf,Divya Reddy,40,Thane,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,116584,2025-10-01
inv_4023c664,Divya Patil,37,Nagpur,Gig Worker,Moderate,2000,English,2024-01-01,Female,Tier 2,22332,2025-10-01
inv_bf0db28b,Pooja Nair,38,Delhi,Business,High,30000,Hindi,2024-01-01,Female,Tier 1,497396,2025-10-01
inv_4bcd14d4,Meena Verma,55,Delhi,Salaried,Moderate,10000,Hindi,2024-01-01,Female,Tier 1,114379,2025-10-01
inv_fe0a7488,Nisha Nair,36,Delhi,Business,High,30000,Hindi,2024-01-01,Female,Tier 1,388926,2025-10-01
inv_8fc5dd44,Raj Sharma,56,Mumbai,Gig Worker,Moderate,2000,English,2024-01-01,Male,Tier 1,19787,2025-10-01
inv_7b6c37a6,Karan Kulkarni,74,Pune,Retired,Conservative,5000,Marathi,2024-01-01,Male,Tier 2,45893,2025-10-01
inv_9afe2581,Anita Joshi,70,Mumbai,Retired,Conservative,5000,Marathi,2024-01-01,Female,Tier 1,39629,2025-10-01
inv_fbc6190d,Nisha Kulkarni,25,Pune,Gig Worker,Moderate,2000,Marathi,2024-01-01,Female,Tier 2,22060,2025-10-01
inv_561401e1,Anita Mehta,29,Thane,Business,High,30000,English,2024-01-01,Female,Tier 2,310404,2025-10-01
inv_07dc7e48,Ramesh Sharma,28,Nagpur,Business,High,30000,English,2024-01-01,Male,Tier 2,160592,2025-10-01
inv_7d7b322e,Raju Joshi,35,Nagpur,Business,High,15000,English,2024-01-01,Male,Tier 2,251869,2025-10-01
inv_34b290b8,Sanjay Sharma,46,Delhi,Salaried,Moderate,10000,Hindi,2024-01-01,Male,Tier 1,132589,2025-10-01
inv_5aa196b7,Varun Nair,33,Thane,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,124862,2025-10-01
inv_08e18b23,Sunita Joshi,43,Nashik,Salaried,Moderate,10000,Marathi,2024-01-01,Female,Tier 2,103637,2025-10-01
inv_545e0e5e,Aditi Joshi,41,Thane,Business,High,30000,English,2024-01-01,Female,Tier 2,139460,2025-10-01
inv_d0096162,Anita Mehta,73,Pune,Retired,Conservative,5000,Hindi,2024-01-01,Female,Tier 2,54842,2025-10-01
inv_d2c56211,Sunita Mehta,23,Nagpur,Student,High,500,English,2024-01-01,Female,Tier 2,13559,2025-10-01
inv_54976444,Aditi Patil,33,Thane,Gig Worker,Moderate,2000,English,2024-01-01,Female,Tier 2,20726,2025-10-01
inv_964e7b61,Anil Reddy,52,Thane,Gig Worker,Moderate,1000,English,2024-01-01,Male,Tier 2,36989,2025-10-01
inv_fdd3c264,Raj Reddy,47,Mumbai,Business,High,30000,Marathi,2024-01-01,Male,Tier 1,358502,2025-10-01
inv_ac2208b9,Ganesh Das,21,Bangalore,Student,High,500,English,2024-01-01,Male,Tier 1,10455,2025-10-01
inv_db4bd70f,Priya Joshi,43,Mumbai,Salaried,Moderate,5000,Hindi,2024-01-01,Female,Tier 1,102627,2025-10-01
inv_6e42d008,Pooja Reddy,37,Chennai,Business,High,30000,Tamil,2024-01-01,Female,Tier 2,424914,2025-10-01
inv_1e6c5444,Manoj Nair,26,Nagpur,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,78133,2025-10-01
inv_24fb75b4,Aditi Mehta,42,Mumbai,Business,High,30000,Marathi,2024-01-01,Female,Tier 1,239552,2025-10-01
inv_2d0828b4,Pooja Pawar,65,Nashik,Retired,Conservative,5000,Hindi,2024-01-01,Female,Tier 2,63431,2025-10-01
inv_af8f6aed,Riya Patil,32,Mumbai,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 1,100976,2025-10-01
inv_08d13e9a,Anita Verma,34,Bangalore,Gig Worker,Moderate,2000,English,2024-01-01,Female,Tier 1,24245,2025-10-01
inv_44e79f61,Meena Reddy,36,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Female,Tier 2,140282,2025-10-01
inv_9c5e2920,Vikram Joshi,39,Mumbai,Business,High,15000,English,2024-01-01,Male,Tier 1,469601,2025-10-01
inv_d44eb93f,Kavita Patil,30,Nashik,Gig Worker,Moderate,1000,Marathi,2024-01-01,Female,Tier 2,25031,2025-10-01
inv_fe34d16e,Vijay Reddy,77,Mumbai,Retired,Conservative,5000,Hindi,2024-01-01,Male,Tier 1,42701,2025-10-01
inv_183a4c0a,Meena Deshmukh,42,Pune,Salaried,Moderate,5000,Marathi,2024-01-01,Female,Tier 2,126276,2025-10-01
inv_91f3a46d,Deepak Nair,47,Delhi,Gig Worker,Moderate,1000,Hindi,2024-01-01,Male,Tier 1,30709,2025-10-01
inv_0be44cce,Nisha Pawar,57,Thane,Business,High,30000,English,2024-01-01,Female,Tier 2,157790,2025-10-01
inv_4c2db01f,Anil Gupta,37,Hyderabad,Business,High,15000,English,2024-01-01,Male,Tier 2,284936,2025-10-01
inv_af4b5412,Sunita Verma,37,Hyderabad,Salaried,Moderate,10000,English,2024-01-01,Female,Tier 2,112967,2025-10-01
inv_6dcf1c9d,Sneha Kulkarni,68,Delhi,Retired,Conservative,10000,Hindi,2024-01-01,Female,Tier 1,79062,2025-10-01
inv_566731e4,Karan Reddy,72,Thane,Retired,Conservative,10000,English,2024-01-01,Male,Tier 2,75371,2025-10-01
inv_8e54a770,Kavita Pawar,70,Mumbai,Retired,Conservative,10000,Marathi,2024-01-01,Female,Tier 1,53869,2025-10-01
inv_db2131a8,Neha Reddy,47,Pune,Business,High,30000,Hindi,2024-01-01,Female,Tier 2,359430,2025-10-01
inv_b1fcf635,Deepak Joshi,45,Pune,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 2,129408,2025-10-01
inv_5690b924,Krutika Shinde,75,Bangalore,Retired,Conservative,5000,English,2024-01-01,Female,Tier 1,46086,2025-10-01
inv_2d2eb087,Sneha Das,71,Delhi,Retired,Conservative,10000,Hindi,2024-01-01,Female,Tier 1,35855,2025-10-01
inv_32ced5b6,Amit Verma,52,Thane,Gig Worker,Moderate,2000,English,2024-01-01,Male,Tier 2,24501,2025-10-01
inv_a8d0a7a1,Varun Sharma,33,Mumbai,Salaried,Moderate,5000,Marathi,2024-01-01,Male,Tier 1,76425,2025-10-01
inv_ba1691b3,Sneha Singh,69,Bangalore,Retired,Conservative,5000,English,2024-01-01,Female,Tier 1,44678,2025-10-01
inv_f2195699,Manoj Pawar,48,Bangalore,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 1,133031,2025-10-01
inv_48712230,Suresh Joshi,25,Pune,Gig Worker,Moderate,2000,Marathi,2024-01-01,Male,Tier 2,21334,2025-10-01
inv_df33f203,Aditya Das,47,Hyderabad,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,146647,2025-10-01
inv_dd333fe2,Varun Patil,46,Hyderabad,Business,High,15000,English,2024-01-01,Male,Tier 2,394752,2025-10-01
inv_09b90bd2,Krutika Nair,51,Delhi,Salaried,Moderate,10000,Hindi,2024-01-01,Female,Tier 1,77988,2025-10-01
inv_ae03eefb,Riya Mehta,27,Bangalore,Business,High,30000,English,2024-01-01,Female,Tier 1,222460,2025-10-01
inv_a09e94d4,Ramesh Mehta,20,Mumbai,Student,High,1000,Marathi,2024-01-01,Male,Tier 1,6001,2025-10-01
inv_3a7aa5ef,Anjali Patil,19,Chennai,Student,High,1000,Tamil,2024-01-01,Female,Tier 2,11067,2025-10-01
inv_038a9225,Deepak Gupta,51,Thane,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,103338,2025-10-01
inv_eebb3de8,Nisha Verma,42,Chennai,Business,High,15000,Tamil,2024-01-01,Female,Tier 2,410614,2025-10-01
inv_bf4389e9,Sanjay Pawar,50,Thane,Business,High,30000,English,2024-01-01,Male,Tier 2,159166,2025-10-01
inv_bc1cf67c,Manoj Kulkarni,44,Chennai,Gig Worker,Moderate,1000,Tamil,2024-01-01,Male,Tier 2,24022,2025-10-01
inv_c79f00bd,Varun Mehta,54,Chennai,Business,High,15000,Tamil,2024-01-01,Male,Tier 2,233695,2025-10-01
inv_0083808f,Pooja Sharma,24,Hyderabad,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,102390,2025-10-01
inv_0e39f8c9,Vijay Kulkarni,40,Nashik,Salaried,Moderate,10000,Marathi,2024-01-01,Male,Tier 2,65321,2025-10-01
inv_55b71335,Riya Patil,35,Hyderabad,Business,High,30000,English,2024-01-01,Female,Tier 2,362815,2025-10-01
inv_021037c5,Riya Pawar,32,Nashik,Business,High,15000,Marathi,2024-01-01,Female,Tier 2,241091,2025-10-01
inv_8d4da9b7,Rahul Pawar,74,Pune,Retired,Conservative,5000,Marathi,2024-01-01,Male,Tier 2,70072,2025-10-01
inv_edad40c1,Amit Patil,56,Bangalore,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 1,107645,2025-10-01
inv_75849a72,Nisha Sharma,37,Thane,Salaried,Moderate,10000,English,2024-01-01,Female,Tier 2,129529,2025-10-01
inv_28f7f48c,Deepak Singh,31,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Male,Tier 2,146414,2025-10-01
inv_b23fc503,Karan Pawar,29,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Male,Tier 2,124572,2025-10-01
